Freq.	V(Vout)/V(Vin)	V(vout)
9.77237220955804e+03	(1.97329431764106e+01dB,1.79648199021916e+02°)	(1.95709600809387e+01dB,-1.69320807353260e+02°)
9.99999999999993e+03	(1.97329354600707e+01dB,1.79640004737658e+02°)	(1.95781144224794e+01dB,-1.69574141472254e+02°)
1.02329299228075e+04	(1.97329273800856e+01dB,1.79631619599248e+02°)	(1.95849570980460e+01dB,-1.69822473140864e+02°)
1.04712854805089e+04	(1.97329189193187e+01dB,1.79623039162212e+02°)	(1.95915011615631e+01dB,-1.70065900344266e+02°)
1.07151930523760e+04	(1.97329100598258e+01dB,1.79614258878629e+02°)	(1.95977591565698e+01dB,-1.70304520569296e+02°)
1.09647819614318e+04	(1.97329007828172e+01dB,1.79605274094728e+02°)	(1.96037431326819e+01dB,-1.70538430730908e+02°)
1.12201845430196e+04	(1.97328910686179e+01dB,1.79596080048425e+02°)	(1.96094646618177e+01dB,-1.70767727105149e+02°)
1.14815362149688e+04	(1.97328808966258e+01dB,1.79586671866811e+02°)	(1.96149348541566e+01dB,-1.70992505268334e+02°)
1.17489755493952e+04	(1.97328702452680e+01dB,1.79577044563573e+02°)	(1.96201643738102e+01dB,-1.71212860042060e+02°)
1.20226443461740e+04	(1.97328590919552e+01dB,1.79567193036364e+02°)	(1.96251634541857e+01dB,-1.71428885443762e+02°)
